state,electoral_votes,party
Alabama,9,R
Alaska,3,R
Arizona,11,P
Arkansas,6,R
California,55,B
Colorado,9,B
Connecticut,7,B
Delaware,3,B
District of Columbia,3,B
Florida,29,P
Georgia,16,P
Hawaii,4,B
Idaho,4,R
Illinois,20,B
Indiana,11,R
Iowa,6,R
Kansas,6,R
Kentucky,8,R
Louisiana,8,R
Maine,4,B
Maryland,10,B
Massachusetts,11,B
Michigan,16,P
Minnesota,10,B
Mississippi,6,R
Missouri,10,R
Montana,3,R
Nebraska,5,R
Nevada,6,B
New Hampshire,4,B
New Jersey,14,B
New Mexico,5,B
New York,29,B
North Carolina,15,P
North Dakota,3,R
Ohio,18,R
Oklahoma,7,R
Oregon,7,B
Pennsylvania,20,P
Rhode Island,4,B
South Carolina,9,R
South Dakota,3,R
Tennessee,11,R
Texas,38,R
Utah,6,R
Vermont,3,B
Virginia,13,B
Washington,12,B
West Virginia,5,R
Wisconsin,10,P
Wyoming,3,R
